순위,등록번호,서명,저자,발행자,청구기호,대출횟수
161,BAW000494213,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 37, 오슬로: 노르웨이(Norway)",송도수 지음 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-37=2,9
162,BAW000494210,쿠키런 어드벤처 : 홍콩. 34,송도수 지음 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-34=2,9
163,BAW000494207,쿠키런 어드벤처 : 하와이. 31,송도수 지음 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-31=2,9
164,BAW000490474,"(카카오프렌즈)과학탐정단. 6, 바이러스",조영선 글 ; 최철민 그림,대원키즈,J 400-카821-6,9
165,BAW000494907,"유령고양이 후쿠코. 1, 내 그림자를 돌려줘",글쓴이: 히로시마 레이코 ; 그린이:바라마쓰 히토미 ; 옮긴이: 고향옥,김영사,J 833.6-유234-1,9
166,BAW000498608,(코믹 메이플스토리)수학도둑. 45,송도수 글 ; 서정은 그림,서울문화사,J 410-송225ㅅ-45,9
167,BAW000498598,"수학도둑 : 수학논술만화. 35, 심화편",송도수 글 ;  서정 엔터테인먼트 그림 ;  여운방 박사 콘텐츠감수,서울문화사,J 410-송225ㅅ-35,9
168,BAW000498594,"수학도둑 31 : 수학논술만화. 31, 심화편",송도수 글 ;  서정은 그림 ;  여운방 박사 콘텐츠감수,서울문화사,J 410-송225ㅅ-31,9
169,BAW000498557,"정재승의 인간 탐구 보고서 : 어린이를 위한 뇌과학 프로젝트. 6, 성은 우리를 다르게 만든다","글: 정재은,이고은 ; 그림: 김현민",아울북,J 404-어239ㅍ-6,9
170,BAW000498565,"(코믹 메이플스토리) 수학도둑. 2, 기본편",송도수 글 ; 서정은 그림,서울문화사,J 410-송225ㅅ-2,9
171,BAW000498567,"(코믹 메이플스토리) 수학도둑. 4, 기본편",송도수 글 ; 서정은 그림,서울문화사,J 410-송225ㅅ-4,9
172,BAW000498573,"(코믹 메이플스토리) 수학도둑. 10, 기본편",송도수 글 ; 서정은 그림,서울문화사,J 410-송225ㅅ-10,9
173,BAW000494495,"십 년 가게와 마법사들. 1, 트루, 다시 만드는 마법사",히로시마 레이코 글 ; 사다케 미호 그림 ; 이소담 옮김,위즈덤하우스,J 833.8-히235ㅅ-1=2,9
174,BAW000490668,"쿠키런 서바이벌 대작전. 33, 위험한 탈출 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-33,9
175,BAW000494659,"정글의 법칙 시즌 3. 15, 라스트인도양",김난영 글 ; SBS 정글의 법칙 제작팀 원작 ; 이정태 그림,김영사,J 980-정18ㅈ-3-15,9
176,BAW000494608,"(만화로 읽는 초등 인문학) 그리스 로마 신화. 3, 새로운 신들의 탄생",박시연 글 ; 최우빈 그림,아울북,J 219.2-박59ㄱ-3=2,9
177,BAW000494620,"(만화로 읽는 초등 인문학) 그리스로마신화. 15, 신에도전한 인간들",박시연,아울북,J 219.2-박59ㄱ-15=2,9
178,BAW000496158,대장 토끼는 나다운 게 좋아,큐라이스 글·그림 ; 황진희 옮김,토토북,MC 833.8-큐231ㄷ,9
179,BAW000490362,오늘의 영상툰. 3,오늘의 영상툰 원작 ; 전영신 구성 ; 샌드박스네트워크 감수,서울문화사,J 818-오218-3,9
180,BAW000501561,"쿠키런 서바이벌 대작전. 5, 화재 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-5=2,9
181,BAW000503150,"(신비아파트) 한자 귀신. 15, 로봇의 마음",김강현 글 ; 김기수 그림,서울문화사,J 711.4-오51ㅅ-15,9
182,BAW000500494,(에그박사의) 채집 일기 : 스티커로 채집하는 자연 생물 관찰 만화. 1,에그박사 원작 ; 박송이 글 ; 홍종현 그림,MiraeN·아이세움,J 472-에18ㅊ-1,9
183,BAW000501567,"쿠키런 서바이벌 대작전. 11, 전기 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-11=3,9
184,BAW000500458,"내일은 실험왕. 36, 태양과 행성",스토리 a. 글 ; 홍종현 그림,미래엔,J 408-내69ㅇ-36=2,9
185,BAW000503119,(오마이갓) 떴다! 자연 모방 구조대,최재훈 글 ; 유희석 그림,예림당,J 400-오31ㅇ-7,9
186,BAW000503270,밍꼬발랄 공소시효. 2,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-2,9
187,BAW000503100,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 1,원작: 흔한남매 ; 글: 안치현 ; 그림: 유난희,Mirae N 아이세움,J 400-흔91-1,9
188,BAW000504646,(흔한남매) 별난 방탈출. 3,흔한남매 원작 ; 김언정 글 ; 차차 그림,미래엔아이세움,J 813.8-흔91ㅂ-3,9
189,BAW000504649,"(Go Go) 카카오프렌즈. 16, 베트남",김미영 글 ; 김정한 그림,아울북,J 909-김39ㄱ-16=2,9
190,BAW000501565,"쿠키런 서바이벌 대작전. 9, 지진 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-9=2,9
191,BAW000504650,"(Go Go) 카카오프렌즈. 17, 러시아", 김미영 글 ; 김정한 그림,아울북(북이십일),J 909-김39ㄱ-17=2,9
192,BAW000504651,"(Go Go) 카카오 프렌즈. 18, 오스트리아",김미영 글 ; 김정한 그림,아울북,J 909-김39ㄱ-18=2,9
193,BAW000500676,"비밀요원 레너드. 3, 늑대인간의 정체를 밝혀라!",박설연 글 ; 김덕영 그림,아울북,J 813.8-비39ㅇ-3=2,9
194,BAW000501560,"쿠키런 서바이벌 대작전. 4, 산과 하늘 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-4=2,9
195,BAW000501759,으쌰으쌰 할마와 어쩌라고 손자,김혜리 지음 ; 이예숙 그림,상상스쿨,J 813.8-김94ㅇ,9
196,BAW000501857,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 6, 아테네",송도수 글 ; 서정은 그림,서울문화사,J 980.24-송225ㅋ-6=3,9
197,BAW000504530,"밍꼬발랄 코믹스. 9, 드디어 책을 발견하다",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-9,9
198,BAW000504529,"밍꼬발랄 코믹스. 8, 또다시 등장한 표식",밍꼬발랄 원작 ; 김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.8-밍15ㅁ-8,9
199,BAW000503448,"설민석의 한국사 대모험. 16, 독도 편 - 사라진 천사옥대를 찾아라!","설민석,스토리박스 [공]글 ; 정현희 그림",아이휴먼,J 911-설39ㅅ-16,9
200,BAW000501585,"쿠키런 서바이벌 대작전. 29, 정령의 경고 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-29=2,9
