브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,0,,딥디크,1,,,성별,,,,,
15,어벤투스포허EDP,중성,포멀,사계절,중간,"프루티,우디,시트러스,파우더리,머스크",,,,72,,,,,,,,,,,
15,브와뒤포르투갈EDP,남성,포멀,"봄,가을,겨울",무거운,"우디,아로마틱,라벤더,파우더리,스파이시",,,,73,,,,,,,,,,,
15,그린아이리쉬트위드EDP,중성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"시트러스,프레쉬,우디,워터리,그린",,,,74,,,,,,,,,,,
15,밀레지움임페리얼EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"마린,시트러스,프루티,파우더리,우디",,,,75,,,,,,,,,,,
15,바이킹EDP,남성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"아로마틱,우디,시트러스,라벤더,스파이시",,,,76,,,,,,,,,,,
15,실버마운틴EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"워터리,그린,프루티,머스크,파우더리",,,,77,,,,,,,,,,,
15,로얄워터EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"그린,스파이시,시트러스,아로마틱,프레쉬",,,,78,,,,,,,,,,,
15,로얄오우드EDP,남성,포멀,"가을,겨울",무거운,"우디,아로마틱,머스크,파우더리,스파이시",,,,79,,,,,,,,,,,
15,버진아일랜드워터EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"시트러스,코코넛,바닐라,부지,우디",,,,80,,,,,,,,,,,
16,블랙아프가노PARFUM,남성,포멀,"가을,겨울",무거운,"앰버,스모키,우디,그린,타바코",,,,81,,,,,,,,,,,
17,패츌리EDP,남성,포멀,"가을,겨울",무거운,"우디,얼씨,스파이시,그린,스모키",,,,82,,,,,,,,,,,
17,프리지아EDT,여성,"캐쥬얼,포멀","봄,여름",가벼운,"플로럴,파우더리,로즈,머스크,프레쉬",,,,83,,,,,,,,,,,
18,디올옴므인텐스EDP,남성,포멀,"가을,겨울",무거운,"파우더리,우디,얼씨,플로럴,머스크",,,,84,,,,,,,,,,,
18,디올옴므퍼퓸PARFUM,남성,포멀,"가을,겨울",무거운,"파우더리,우디,얼씨,레더,머스크",,,,85,,,,,,,,,,,
18,디올소바쥬EDT,남성,포멀,"봄,가을,겨울",무거운,"시트러스,앰버,라벤더,아로마틱,머스크",,,,86,,,,,,,,,,,
18,미스디올로즈앤로지스EDP,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"로즈,시트러스,머스크,플로럴,파우더리",,,,87,,,,,,,,,,,
19,샤넬넘버5EDP,여성,포멀,"가을,겨울",무거운,"우디,프레쉬,플로럴,파우더리,얼씨",,,,88,,,,,,,,,,,
19,블루드샤넬EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,아로마틱,앰버,시트러스,스파이시",,,,89,,,,,,,,,,,
19,알뤼르옴므EDP,남성,캐쥬얼,사계절,중간,"아로마틱,우디,시트러스,바닐라,프레쉬",,,,90,,,,,,,,,,,
19,코코마드모아젤로프리베EDP,여성,"캐쥬얼,포멀",사계절,중간,"시트러스,로즈,머스크,플로럴,파우더리",,,,91,,,,,,,,,,,
20,서울신사동EDP,중성,"캐쥬얼,포멀",사계절,중간,"프루티,시트러스,아로마틱,프레쉬,우디",,,,92,,,,,,,,,,,
20,타바코리치웜EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"코코넛,우디,부지,타바코,바닐라",,,,93,,,,,,,,,,,
20,맨골드EDP,남성,포멀,"봄,가을,겨울",무거운,"스파이시,시트러스,우디,앰버,머스크",,,,94,,,,,,,,,,,
20,맨실버EDP,남성,포멀,"가을,겨울",중간,"시트러스,마린,우디,스파이시,아로마틱",,,,95,,,,,,,,,,,
20,베티버 팜플무스EDP,중성,캐쥬얼,"봄,여름",중간,"시트러스,아로마틱,우디,스파이시,그린",,,,96,,,,,,,,,,,
20,튜베로즈느와EDP,여성,캐쥬얼,"봄,가을,겨울",중간,"플로럴,우디,그린,프레쉬,파우더리",,,,97,,,,,,,,,,,
20,아말피선레이EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,플로럴,얼씨,프레쉬",,,,98,,,,,,,,,,,
20,핑크플람베EDP,여성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,머스크,파우더리,앰버",,,,99,,,,,,,,,,,
21,헤르만EDP,중성,캐쥬얼,"봄,여름,가을",무거운,"로즈,머스크,우디,앰버,워터리",,,,100,,,,,,,,,,,
21,유오어썸원라이크유EDP,중성,캐쥬얼,"봄,여름",가벼운,"민트,그린,아로마틱,시트러스,프레쉬",,,,101,,,,,,,,,,,
21,고스트인더쉘EDP,중성,캐쥬얼,"봄,여름,가을",가벼운,"머스크,마린,우디,플로럴,프레쉬",,,,102,,,,,,,,,,,
22,토이보이EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"로즈,플로럴,머스크,우디,프레쉬",,,,103,,,,,,,,,,,
23,러브어페어EDP,중성,포멀,"봄,가을,겨울",무거운,"플로럴,파우더리,머스크,우디,바닐라",,,,104,,,,,,,,,,,
24,바이더파이어플레이스EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,파우더리,너티",,,,105,,,,,,,,,,,
24,재즈클럽EDP,남성,포멀,"가을,겨울",무거운,"부지,우디,바닐라,파우더리,스모키",,,,106,,,,,,,,,,,
24,소울오브더포레스트EDP,중성,포멀,"봄,가을,겨울",무거운,"우디,앰버,스파이시,그린,프레쉬",,,,107,,,,,,,,,,,
24,위스퍼스인더라이브러리EDP,중성,캐쥬얼,"가을,겨울",중간,"우디,바닐라,그린,스파이시,파우더리",,,,108,,,,,,,,,,,
25,티토니크EDP,중성,캐쥬얼,"봄,여름",가벼운,"우디,아로마틱,민트,그린,프레쉬",,,,109,,,,,,,,,,,
26,오우드EDP,중성,포멀,"가을,겨울",무거운,"우디,시트러스,레더,아로마틱,머스크",,,,110,,,,,,,,,,,
27,블랙인센스말라키EDP,남성,포멀,"가을,겨울",무거운,"앰버,스모키,우디,레더,스파이시",,,,111,,,,,,,,,,,
27,오드말라키EDP,남성,포멀,"봄,가을,겨울",무거운,"타바코,우디,스파이시,레더,앰버",,,,112,,,,,,,,,,,
27,네롤리아라카다멈드콰테말라EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,그린",,,,113,,,,,,,,,,,
28,상탈33EDP,중성,캐쥬얼,"봄,가을,겨울",무거운,"우디,파우더리,레더,스파이시,플로럴",,,,114,,,,,,,,,,,
28,떼누아29EDP,중성,캐쥬얼,"봄,가을,겨울",무거운,"우디,프루티,아로마틱,타바코,파우더리",,,,115,,,,,,,,,,,
28,로즈31EDP,중성,캐쥬얼,사계절,중간,"우디,로즈,스파이시,아로마틱,머스크",,,,116,,,,,,,,,,,
28,베티버46EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,앰버,아로마틱,스파이시,얼씨",,,,117,,,,,,,,,,,
28,일랑49EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,얼씨,플로럴,스파이시,아로마틱",,,,118,,,,,,,,,,,
28,어나더13EDP,중성,캐쥬얼,사계절,중간,"머스크,앰버,우디,파우더리,플로럴",,,,119,,,,,,,,,,,
28,플레르도랑줴27EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,스파이시",,,,120,,,,,,,,,,,
28,리스41EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,바닐라,그린,머스크,우디",,,,121,,,,,,,,,,,
28,베르가못22EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,아로마틱,우디,프레쉬,플로럴",,,,122,,,,,,,,,,,
28,가이악10EDP,여성,캐쥬얼,"봄,가을,겨울",가벼운,"우디,머스크,파우더리,앰버,스모키",,,,123,,,,,,,,,,,
29,오리온PARFUM,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"프루티,우디,스모키,레더,앰버",,,,124,,,,,,,,,,,
29,네로오우드PARFUM,중성,포멀,"가을,겨울",무거운,"우디,스파이시,얼씨,로즈,메탈릭",,,,125,,,,,,,,,,,
29,라우다노네로PARFUM,남성,포멀,"가을,겨울",무거운,"우디,앰버,스모키,스파이시,타바코",,,,126,,,,,,,,,,,
30,바카랏루쥬EDP,여성,포멀,"봄,가을,겨울",무거운,"우디,앰버,스파이시,메탈릭,플로럴",,,,127,,,,,,,,,,,
30,그랑수와EDP,중성,포멀,"가을,겨울",무거운,"앰버,바닐라,너티,플로럴,라벤더",,,,128,,,,,,,,,,,
30,실크무드PARFUM,중성,포멀,"가을,겨울",무거운,"로즈,우디,플로럴,그린,스파이시",,,,129,,,,,,,,,,,
30,사틴무드EDP,중성,포멀,"가을,겨울",무거운,"바닐라,로즈,우디,파우더리,앰버",,,,130,,,,,,,,,,,
30,젠틀플루이디티EDP,중성,포멀,"봄,가을,겨울",무거운,"바닐라,파우더리,앰버,우디,머스크",,,,131,,,,,,,,,,,
31,히비스커스마하자드PARFUM,여성,포멀,사계절,무거운,"플로럴,로즈,바닐라,머스크,레더",,,,132,,,,,,,,,,,
31,상탈볼캐니크EDP,남성,캐쥬얼,"가을,겨울",무거운,"스파이시,우디,파우더리,시트러스,아로마틱",,,,133,,,,,,,,,,,
31,로즈살티폴리아EDP,여성,캐쥬얼,"봄,여름",가벼운,"마린,로즈,아로마틱,워터리,머스크",,,,134,,,,,,,,,,,
31,압셍트보레알EDP,중성,"캐쥬얼,포멀","봄,여름,가을",중간,"아로마틱,프레쉬,우디,라벤더,부지",,,,135,,,,,,,,,,,
32,블랙팬텀EDP,남성,포멀,"가을,겨울",무거운,"스파이시,부지,우디,프랄린,너티",,,,136,,,,,,,,,,,
32,엔젤스쉐어EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,앰버,파우더리",,,,137,,,,,,,,,,,
32,굿걸곤배드,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"플로럴,프루티,그린,로즈,앰버",,,,138,,,,,,,,,,,
32,러브돈비샤이,여성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"플로럴,바닐라,너티,파우더리,머스크",,,,139,,,,,,,,,,,
32,스트레이트투헤븐,남성,포멀,"가을,겨울",무거운,"우디,얼씨,부지,스파이시,파우더리",,,,140,,,,,,,,,,,
32,포비든게임즈,여성,"캐쥬얼,포멀","봄,여름",중간,"프루티,로즈,바닐라,프레쉬,플로럴",,,,141,,,,,,,,,,,
32,플라워오브이모탈리티,여성,"캐쥬얼,포멀","봄,여름,가을",중간,"프루티,파우더리,플로럴,로즈,바닐라",,,,142,,,,,,,,,,,
32,우먼인골드,여성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"바닐라,시트러스,로즈,우디,플로럴",,,,143,,,,,,,,,,,
32,불레이부쿠셔아베끄모아,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"플로럴,우디,바닐라,로즈,파우더리",,,,144,,,,,,,,,,,
33,앙크르느와익스트림EDP,중성,"캐쥬얼,포멀",사계절,무거운,"우디,아로마틱,앰버,스모키,얼씨",,,,145,,,,,,,,,,,
34,루나EDP,여성,"캐쥬얼,포멀",사계절,가벼운,"시트러스,아로마틱,스파이시,로즈,우디",,,,146,,,,,,,,,,,
34,할페티EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,아로마틱,레더,파우더리",,,,147,,,,,,,,,,,
35,떼르데르메스오인텐스베티버EDP,남성,"캐쥬얼,포멀",사계절,중간,"시트러스,아로마틱,스파이시,우디,얼씨",,,,148,,,,,,,,,,,
36,상탈블랑EDP,중성,"캐쥬얼,포멀",사계절,가벼운,"우디,파우더리,프루티,머스크,바닐라",,,,149,,,,,,,,,,,
37,카사노바EDP,남성,"캐쥬얼,포멀","봄,가을",중간,"스파이시,라벤더,우디,바닐라,파우더리",,,,150,,,,,,,,,,,
38,오베드상EDP,여성,"캐쥬얼,포멀",사계절,가벼운,"프루티,머스크,우디,앰버,파우더리",,,,151,,,,,,,,,,,
39,왓아이디드온마이홀리데이EDP,중성,캐쥬얼,"봄,여름",가벼운,"바닐라,아로마틱,코코넛,그린,마린",,,,152,,,,,,,,,,,
40,마르세유EDP,중성,캐쥬얼,"봄,여름,가을",중간,"머스크,플로럴,파우더리,시트러스,프레쉬",,,,153,,,,,,,,,,,
40,인센스 교토EDP,남성,포멀,"가을,겨울",무거운,"우디,아로마틱,앰버,스모키,스파이시",,,,154,,,,,,,,,,,
40,히노키EDP,남성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"우디,아로마틱,프레쉬,스파이시,스모키",,,,155,,,,,,,,,,,
40,블루 상탈EDP,남성,"캐쥬얼,포멀",사계절,중간,"우디,아로마틱,스파이시,파우더리,그린",,,,156,,,,,,,,,,,
41,터치 포맨EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,머스크,워터리,아로마틱,파우더리",,,,157,,,,,,,,,,,
